[ 64752.83540698],[ 82848.72287671],[ 83090.59372433]
[-40729.36543649],[-88585.92044689],[-36377.43173412]
[-14888.1676785],[ 39615.67965736],[ 7736.20369741]
[-32814.09843272],[-23612.30492618],[ 90718.02409659]
[-25852.11824662],[-59665.24295376],[ 89373.60880612]
[ 20129.53053004],[ 44754.78074805],[ 85979.13862501]
[-35771.40644702],[ 70396.67883492],[ 81825.81962649]
[-97423.89197628],[-89107.92567348],[-69547.22547961]
[ 81816.45231518],[-61534.31379885],[-89651.66874457]
[-92639.53107933],[-91646.86235722],[ 57854.31183413]
[-32624.6955277],[ 70841.74080181],[ 67695.6560545]
[-63405.17399354],[-72670.94730614],[-12208.06094928]
[ 749.75568087],[-40120.98461184],[ 76757.0960998]
[ 95944.27444934],[ 28493.62437155],[ 87539.01486062]
[-48168.36681888],[-33822.63619],[-55075.04793182]
[ 16150.84299424],[-17888.6575256],[-8656.4017565]
[-9495.5642247],[ 29662.45605063],[ 16170.43300058]
[ 98980.1078816],[-96191.15369257],[-53950.28457349]
[ 57962.50111519],[ 67731.80235248],[-30094.49728173]
[-43045.20305078],[-91634.09433153],[-246.70727622]
[ 54648.49264915],[-45346.18334488],[-85935.25106137]
[-2248.85598047],[-78542.49521717],[ 11993.70214535]
[-23268.04053411],[ 28021.92774626],[-92201.60520143]
[ 25301.15687398],[ 97339.63496431],[-21520.0464765]
[-47736.57631549],[ 98490.68157786],[ 40224.08095384]
[ 45718.65927035],[-20240.96042211],[-78698.4586343]
[-88940.71433448],[-68139.73109253],[ 4570.24626595]
[ 18411.63790557],[-2982.91410022],[-44209.40102268]
[ 56140.80982417],[-23383.8619231],[-81288.89627707]
[ 85329.43543406],[-43894.97201561],[-8023.16427367]
[ 74739.67795256],[ 1674.18016396],[-51935.99176606]
[ 41444.70855309],[-48009.0852276],[ 31645.68236928]
[-66677.62323281],[ 98134.0065446],[-80349.42080175]
[ 20972.4180851],[ 37216.70798381],[-4200.35951354]
[-5907.01707193],[-13068.01207029],[-80258.05118898]
[ 69212.56976637],[ 76360.50330725],[ 61019.27128272]
[ 79055.27652151],[ 30168.99788444],[-69099.19462465]
[-56644.71254119],[ 69287.84938219],[ 39258.46551988]
[ 85537.18870225],[ 21197.47875123],[ 82800.43253935]
[-6633.8065702],[ 91907.60412414],[-2420.37128186]
[-88353.03114663],[ 96518.15016417],[ 57513.79897746]
[ 83573.83082046],[ 89554.57840608],[-44914.6881557]
[ 56045.90116486],[-53664.96735991],[ 9717.91252952]
[ 26050.2310728],[-89252.43061059],[ 71773.14608381]
[ 72992.1957956],[-76322.06562539],[-3522.72300568]
[ 92604.87256832],[ 80467.43323417],[-24847.59537551]
[-97219.12427322],[ 69977.21048361],[-80793.31233873]
[ 48340.05520439],[ 97912.8327129],[ 45253.05559686]
[-62209.83759507],[ 30799.87742658],[ 90332.00548589]
[ 44322.97768311],[-51363.84239719],[-12933.25980209]
[-22450.59013174],[ 70755.44571838],[-28184.90305685]
[-55514.76122871],[-57450.11982016],[ 56099.16802603]
[ 67120.39916176],[-28245.23683417],[-90533.23903256]
[ 34371.35456323],[-52086.79351877],[-96025.08571579]
[ 31690.88988702],[ 65299.43860706],[ 66115.66560709]
[-84200.5185146],[ 34694.40373823],[-38829.16681387]
[-75074.4932791],[-72028.92144861],[-29553.65134121]
[-5815.78595875],[-36249.08795184],[ 51881.75814519]
[-61773.60846048],[ 6794.11415712],[ 52263.44791876]
[-35689.93005329],[ 80222.65274753],[ 59638.30882984]
[-77510.81051219],[ 89219.39965888],[ 17260.06959972]
[ 96124.65878048],[ 51306.53034007],[-22558.61927793]
[ 83618.95902029],[-60325.16118476],[ 16486.24646589]
[-49554.46232197],[ 45022.87151343],[-11412.66995407]
[ 87884.8071737],[-59953.64653002],[ 59135.57338736]
[ 44966.08990265],[ 68040.61758852],[-86807.50810849]
[-99712.78560678],[-61056.88499492],[-86895.46117294]
[ 80923.7610922],[ 62017.42409242],[-33897.34206607]
[ 34025.41575174],[-66426.09157226],[ 93539.28898375]
[-69805.60129349],[ 80741.81293499],[-94285.10244203]
[-47264.30589605],[-1683.99510533],[ 49417.12528943]
[-35971.77591399],[-46299.79296575],[-3677.48710612]
[ 14932.79076095],[ 29053.88036706],[ 97165.53709953]
[-1396.52940334],[ 61905.64202653],[ 91978.02889944]
[-12286.01861225],[-20837.99684178],[-5923.22118475]
[ 78520.38926684],[ 29453.53464359],[-56124.05973742]
[ 73502.41452015],[-52817.40157185],[-91851.88893667]
[ 88193.39974289],[-83374.82890866],[ 26066.33946219]
[ 57858.29237493],[-47482.05302056],[-51517.0951042]
[-18302.76852279],[ 93520.01365129],[-71720.27112302]
[ 73557.49885733],[-43720.29562429],[-13728.72593279]
[ 98715.48352086],[-52567.85103817],[ 63655.0792709]
[ 18052.83904049],[ 45895.80260138],[-28742.3697883]
[-27269.66354495],[-6770.02072148],[-23067.72309802]
[ 79246.9090935],[ 96941.70503097],[-23505.24302912]
[ 63129.71309507],[ 19104.33693123],[ 2144.10701431]
[ 77275.9043916],[-75340.65333459],[-62549.9230767]
[ 84332.96785956],[-4297.48148556],[ 53118.6104523]
[ 90147.64464258],[ 16663.04500521],[ 25189.34664582]
[-15287.44812514],[ 74816.69615073],[-40653.29318542]
[-32824.73750006],[-19877.94180751],[ 24694.16243788]
[-59247.86391043],[-49246.90167867],[ 60297.87249429]
[-22805.98050547],[ 8731.67444969],[-47424.28088416]
[-22448.16122639],[ 44718.00245627],[-94910.50283906]
[ 56903.58193912],[-37967.72885659],[-91848.55799286]
[-14374.69689151],[ 91282.73918849],[-4546.37794872]
[ 61950.70176677],[ 18466.79295495],[-51665.82859804]
[-36754.8471939],[-76425.62720183],[-12095.53260763]
[ 63773.97885761],[-84746.58404202],[-33017.80739363]
[-10727.53649732],[ 20360.13074672],[-90172.77768664]
[ 24187.81891076],[ 18896.83559346],[ 71155.74112065]
[ 58388.90366368],[ 14727.34597496],[ 2663.84425221]
[-90386.14942395],[-88559.34845809],[ 79169.93915116]
[ 61658.83485468],[ 15461.0112881],[-50061.50068679]
[ 73257.97913932],[-87224.29241036],[-24384.70804178]
[-84049.1307352],[-44517.87190548],[-5808.81246361]
[-98132.99151086],[-72083.85994502],[ 82653.82239245]
[ 32219.39523111],[-45233.29434252],[ 39476.52109418]
[ 45187.86865086],[ 25816.28609562],[-33492.85756415]
[ 83158.11918119],[-86197.84132117],[-16157.56727429]
[ 50351.00294442],[ 70893.16941104],[ 18306.98978081]
[ 56398.37343631],[-2098.55945361],[ 92205.31684444]
[-59975.14754348],[ 14245.07141894],[-2385.96251153]
[-45810.0301433],[-1670.26905309],[ 98811.8570466]
[ 80223.79157499],[ 74876.84182234],[-87345.51582008]
[ 57976.12347514],[ 53945.00073855],[ 41312.8136352]
[-7272.50888545],[ 3746.32029563],[ 89623.65163967]
[ 12192.98175664],[-51564.05465348],[ 80747.04048406]
[ 47731.59571054],[ 35930.30214081],[-43618.56148951]
[ 42475.78074628],[-52462.78407522],[-31563.96226158]
[-99516.60829575],[ 78765.58113959],[-81495.20688988]
[ 30142.21570281],[-23007.06234343],[-46712.16462138]
[ 88167.40072913],[ 26361.73888923],[-83142.39044432]
[ 36855.24136789],[ 79769.33602222],[-71222.69657151]
[ 98164.57656817],[-69801.28869879],[ 88044.58672728]
[-12011.86608002],[-59906.92667068],[-75327.28874994]
[-41877.72565818],[ 86011.26637523],[ 74230.65847121]
[ 17395.2863403],[ 81399.22639504],[-26321.43478976]
[-3545.19186392],[ 13925.84038634],[-39597.7532056]
[ 87087.93214831],[ 17497.5134033],[-63723.50449739]
[ 16090.29464549],[-4453.87876254],[-31322.79139248]
[-68129.21479459],[ 42674.41267031],[ 73241.45815724]
[-6456.42341016],[-87710.2483733],[ 74820.06662846]
[-57733.68949241],[ 700.83434861],[ 10721.25934136]
[ 49730.10007629],[-1773.80786541],[ 62674.95953749]
[ 74974.19646469],[-85270.9149964],[ 19361.34844643]
[-12016.44026219],[ 51093.33440371],[ 20072.68529196]
[ 57773.92427161],[-99876.53483731],[ 82.65647688]
[ 9094.77282161],[ 98754.38400314],[ 58699.31388459]
[ 26113.58915386],[ 78264.84559939],[-79186.13808719]
[-30354.63030816],[ 64990.98894684],[-77966.19556375]
[ 85696.34468986],[ 42633.03387905],[-39785.41990624]
[ 67072.04694542],[-37083.23516205],[ 6228.61151306]
[ 89108.36862179],[-46717.17888761],[ 1249.72169198]
[ 52357.49698786],[ 70256.87946945],[ 56040.67622792]
[-60599.61380555],[-73692.84118924],[ 11381.51385861]
[ 16982.79653963],[-27937.83506783],[ 32037.69772241]
[-63738.36114852],[-63902.45304317],[ 72317.55940618]
[-83793.52815176],[-22520.63426505],[ 33561.9879921]
[ 97540.52843248],[ 89658.10531175],[ 55745.01017564]
[-55008.15639725],[-23957.12607583],[-64041.20451878]
[-29884.6629224],[ 31624.41255061],[-24503.61040712]
[-65546.74585478],[ 24418.04451312],[ 7886.78776992]
[ 44034.1051978],[-29345.97687454],[ 21242.96020854]
[ 90335.00774633],[ 47882.00535651],[ 66765.65009037]
[ 10197.24471393],[-50376.33710755],[-79120.04151566]
