[-38592.65635189],[-75241.11914435],[-65571.81211369]
[ 93338.44156812],[-31580.9197073],[-90321.04131013]
[-12562.07851433],[-17809.176328],[ 80825.57782979]
[-26673.90890231],[ 85925.50239863],[ 33048.0634166]
[-66597.64773929],[ 55564.89971938],[ 72286.29318047]
[ 19446.36439717],[-19607.72349697],[-85099.13412773]
[-82378.71971402],[-20973.76769412],[-82492.87097073]
[ 73045.81054168],[ 28126.8382678],[-54944.89025365]
[ 67899.14008447],[-35868.56942312],[ 63234.08965658]
[-45194.71280748],[-41386.18737874],[ 47102.43658113]
[-45530.07842529],[-79459.69407243],[ 50342.78062849]
[ 89101.2661591],[-13856.20885927],[ 12431.62871961]
[-97081.67754473],[-14987.28788716],[ 29200.71146696]
[-76229.56698277],[ 99499.11165186],[-17197.24732423]
[-83156.97089606],[ 52240.01523286],[-72984.63201777]
[-98709.26855411],[ 34499.06860088],[-48469.34903593]
[-6051.42156367],[-11878.38440257],[ 92691.11867242]
[ 91727.81416762],[-65498.72996725],[ 97112.15821228]
[-13979.73597943],[ 4940.61413429],[-18222.34998208]
[-36531.91465525],[-37264.35277677],[-75105.29252966]
[-80817.72008767],[ 41164.39522312],[-72376.09753144]
[ 9995.87909708],[-3584.15127363],[ 69614.56964235]
[ 4949.2325967],[-83138.4545367],[-60431.73533015]
[ 91801.44811665],[ 50983.25363924],[-97948.64278652]
[-60940.53909892],[ 32641.81417114],[ 74361.81912145]
[-53970.76777067],[ 22992.20849333],[-75637.7549388]
[-38649.507474],[-55536.82908512],[ 52463.04303755]
[-7864.02774664],[ 35574.51282473],[ 47170.82831114]
[ 4902.04175053],[-83212.2177413],[ 20648.78248927]
[-21357.05383968],[-90272.14959715],[ 7802.45154374]
[-98113.25738445],[ 79477.8821777],[-88728.94054502]
[-90389.12640374],[ 93871.8209023],[ 61741.59261438]
[-64532.08947895],[-49941.3765611],[-40721.74398753]
[ 77019.29010534],[ 6527.87113721],[-2799.51691841]
[ 59909.61758287],[ 21358.4418223],[ 1232.08604657]
[ 18073.83681311],[-320.63060953],[ 45675.27639841]
[-2222.26528971],[-70055.2920737],[-56321.35862628]
[-39488.59838933],[ 63827.46044892],[-90022.40151371]
[-57108.18135028],[-97168.36204924],[ 61163.42701127]
[-10196.65596528],[ 71483.03032447],[-74624.78258126]
[ 1175.74487615],[-30322.29758836],[ 80986.89918062]
[ 92544.73185646],[ 8626.90043262],[ 11384.07922722]
[ 74186.83477278],[-61972.00899305],[-80489.55361286]
[ 96299.42209459],[-35944.83921397],[-42752.35099554]
[ 66057.54225161],[ 36490.9222388],[ 71764.25678136]
[-59566.83798385],[-29074.82593462],[ 55026.91595971]
[-62074.73666986],[ 20102.60607306],[ 32709.03309028]
[ 51808.11435236],[-50850.87222926],[-31287.9850533]
[ 28788.95013153],[-48454.82188047],[-28732.07172229]
[-71750.70358427],[ 6482.40654409],[ 35080.93757327]
[-79459.12886302],[-67208.21335847],[-40341.52730682]
[ 66778.67731667],[ 42788.30084273],[ 50162.77295822]
[-74046.95139816],[ 38345.81695805],[ 20763.86253291]
[-54076.85193104],[ 30914.97652423],[ 64820.59588332]
[-30722.96335516],[-20547.8181402],[ 40735.82307525]
[ 5633.63305025],[-67862.09682007],[-79355.17379493]
[-29097.01019096],[ 73010.45993323],[ 10278.05590397]
[-31381.95976071],[-22697.37708556],[ 14028.79176274]
[-43478.09237063],[ 62910.1834755],[ 75067.32906455]
[ 94141.20779501],[-27054.44414125],[-8149.77236193]
[-51420.33697776],[ 82108.67771677],[ 24347.22655448]
[ 51099.58322015],[ 6864.52842213],[-54958.89669569]
[-80199.94144955],[-77885.93326438],[-21424.10135731]
[ 86875.78435513],[-28313.90204545],[ 80364.55831586]
[-95256.77755472],[-54009.93155479],[-11131.98079117]
[ 95590.70406037],[ 7286.63451676],[ 54321.88574606]
[-60223.90556429],[-27709.58244956],[-11115.11986016]
[ 96401.0589754],[ 45810.93431953],[ 80021.59786638]
[ 3665.68403093],[ 30214.15270509],[-44539.96446308]
[ 41189.25517102],[ 82214.76727822],[-64073.3152448]
[ 86298.04651219],[-35510.91602731],[ 27484.20718897]
[-16763.65158618],[ 54214.67181286],[-83253.57176907]
[-2329.47881064],[-14298.12541504],[ 81526.14045743]
[ 22758.93468427],[-11010.10508112],[ 66070.60250689]
[ 5100.3388603],[-44075.90889458],[-25736.73343558]
[ 1644.3502369],[ 90338.9616531],[-44585.08841084]
[-2805.60507779],[ 65781.99064626],[-39533.53888213]
[ 51761.83842761],[ 6080.38825416],[-92032.04406958]
[-34602.11700378],[ 60132.87215183],[-60143.57927994]
[ 70942.16096976],[ 20525.85417774],[-82656.68929778]
[ 39918.66295871],[ 32406.49020356],[-98192.51179125]
[-5926.20039692],[ 50123.80065076],[-37350.11122659]
[-74277.50507877],[-19363.98834182],[ 29349.78796552]
[-29826.96949439],[-14837.07804184],[-87561.81846342]
[-34559.29705698],[-36693.02001903],[-38554.43087352]
[-87207.24284684],[-73326.00498759],[ 21066.40477054]
[ 51332.46252562],[ 97092.52122666],[ 63399.43471117]
[ 87573.30531574],[-31471.77153275],[ 2946.25226202]
[-50205.12009112],[-18797.61050063],[ 10936.12685941]
[ 65480.65555751],[ 25642.88409788],[ 28418.16545285]
[ 27870.17849702],[ 92869.1184035],[ 66654.80106749]
[-15193.03006641],[-72411.58560983],[-38761.59864794]
[-19919.6598301],[ 35684.98559346],[-75113.79727478]
[ 17302.43490429],[-15350.63739375],[-64885.88094634]
[-64695.99712905],[-15520.36007904],[-85985.81146854]
[ 49040.99852139],[-60240.6436264],[-78750.99142914]
[-79407.44724638],[-40344.97410462],[-21873.99706929]
[-34460.55329994],[ 87765.33384552],[-62133.24100471]
[-1480.46877203],[-85221.40830091],[-6350.86542255]
[-18501.43696834],[ 51928.80753657],[ 73985.77960846]
[-14420.31027772],[ 50047.41103228],[-89916.70988244]
[ 24860.95630221],[ 11321.55713843],[-74592.66374019]
[-5481.20599324],[ 49948.54412206],[ 4896.82566387]
[-69404.78555721],[-70116.95802212],[ 96267.75315071]
[ 1821.71948469],[-16659.15039657],[-37365.1006882]
[-58845.64728055],[-90437.20729939],[ 62949.11545662]
[ 75830.79816701],[-87594.54477235],[ 87254.07064215]
[-37500.42079552],[ 58376.78502862],[ 81294.46329449]
[-87007.64944987],[-40259.44169814],[ 97758.15395827]
[-2001.76904044],[-61206.32670835],[ 14595.19469774]
[ 45286.14072349],[-44793.92490228],[-48493.86677047]
[-36573.33079976],[-30112.62667717],[ 41388.6945399]
[ 41410.49804241],[-68525.29354877],[-15521.46298893]
[ 87235.92335938],[-96265.90333563],[-38772.19485864]
[-71747.41784674],[-3834.61795137],[ 13814.45408786]
[-32998.23411679],[-52342.65685239],[ 68593.68445023]
[-24041.11784973],[-71823.91242547],[-10183.22870473]
[-77650.18097879],[ 91594.11645147],[ 69227.06274542]
[ 70100.67022849],[-95322.72543326],[-78882.22863936]
[ 86453.74241625],[ 64778.26558779],[ 43571.24273705]
[ 66239.83824029],[-89552.67717584],[ 88817.04634215]
[-42.2407339],[-44155.68720472],[-48816.02040283]
[-48707.63166537],[ 66417.92744181],[ 99752.09305337]
[-71689.31152614],[ 80822.15467906],[ 396.36105466]
[-13448.88891129],[-99128.69470976],[-35903.79827322]
[-10382.16478361],[ 24725.95575164],[ 27262.27953017]
[-84333.00692669],[-6426.79787543],[ 72398.75213193]
[ 7616.22512352],[ 20361.66546279],[-79938.7230272]
[ 96585.21274596],[-9209.71371056],[-40387.93184975]
[ 74296.47384257],[-98329.72491798],[ 14938.37680034]
[-94371.95086464],[ 12667.06105527],[ 76748.85021769]
[-99490.80778996],[-1810.41125883],[ 51929.36934973]
[ 84940.82784729],[ 57503.40555056],[ 54589.75160477]
[ 87444.31507281],[ 11060.46239988],[-2449.40954724]
[-58936.27202701],[ 57695.01302743],[-10312.2279107]
[ 67449.17423288],[-4803.1042641],[ 18361.40011994]
[-49930.91104414],[-83850.84558228],[ 48639.38619919]
[ 41624.23122105],[-37428.01307425],[-5798.37588464]
[-31167.79533989],[ 17485.17470919],[-66622.12114957]
[ 98894.24318128],[-78416.80976703],[ 51122.0344053]
[-49106.17704043],[-22341.36781649],[ 59441.53215037]
[-53210.76721592],[-54040.56421779],[-25660.16747121]
[-71302.08580885],[ 93441.87270186],[ 9964.44669642]
[-58488.79637883],[ 89205.12089672],[ 85272.34760274]
[ 26974.11734965],[-92850.93004384],[ 28618.9564349]
[ 46343.67652485],[-10458.69876579],[-6322.91166585]
[ 45756.72744603],[-28291.33852626],[-64866.1173964]
[-24480.61122911],[-29085.0812168],[-93241.99512511]
[-66536.79992261],[-52850.06930428],[ 24305.47084625]
[-60918.89906894],[-72301.09082373],[ 46141.42505133]
[-48812.8321081],[-69820.19425114],[ 20671.7962992]
[ 42921.82229886],[ 71419.08718694],[ 99755.35780995]
[-39036.74591682],[-59044.22564144],[-53199.95653297]
[ 77545.93187867],[-27507.04288032],[ 42148.05394667]
[-96158.00750101],[-13212.23125883],[-38788.65721031]
[-52354.06913777],[-52649.80790837],[ 75258.48786483]
[-69961.99847175],[-90700.55100042],[-15529.75566607]
[ 71380.80645705],[-99234.77454711],[ 74027.45626843]
[-17821.67421315],[-54965.6052671],[-98349.27095411]
[-70902.50314111],[ 28731.63220127],[-79313.14281152]
[ 71887.80502275],[-94457.77345235],[ 92641.85685666]
[-16293.18121943],[ 43604.54804199],[-94579.43248783]
[-32569.03354981],[ 79539.52049099],[-56011.68345643]
[ 10583.55859803],[-5618.48044372],[-51633.58358638]
[ 6004.42257674],[ 9094.94448248],[-96320.00354169]
[ 53763.83324959],[-3682.16750427],[-3174.27083942]
[ 43063.18588003],[ 7843.93373992],[-70706.37199642]
[-53102.54366112],[ 8082.04665937],[ 21937.45013713]
[ 22399.04529926],[ 85647.92667301],[ 70077.0585242]
[-36330.26733295],[-48989.52103329],[ 29920.03334322]
[-85497.21040917],[-34170.94050928],[ 53511.79026694]
[-47266.76825444],[ 98020.13580302],[-17314.38769143]
[-24364.69551465],[-44982.57481973],[-26232.29958021]
[-41546.08579446],[-89663.99007278],[ 74434.98326235]
[-87822.06153205],[-54674.45516724],[ 18875.4373792]
[-24249.56743461],[ 64206.25442425],[ 35826.89021585]
[ 92804.87696794],[-47936.57117853],[-93783.2733218]
[-39000.86583999],[ 9035.04896324],[ 69282.32593119]
[ 64027.24984199],[-73240.82640745],[ 58316.72213691]
[-68566.01556534],[ 3540.29877627],[ 9645.37199008]
[-5978.90756828],[-6768.35307052],[ 10502.08362388]
[ 19707.86868542],[-52331.05125423],[-14229.20359964]
[ 98163.79894655],[ 53303.5570868],[-90450.66065973]
[ 36095.58263697],[-96420.34753342],[-70225.49171171]
[-21184.3321994],[-9925.33337927],[-73197.01617797]
[-25255.78752266],[ 28368.02470889],[-97375.97700436]
[ 64525.29079432],[-46006.90304371],[ 41833.10799073]
[-66180.36627707],[ 27837.76278432],[-18630.91290423]
[ 73002.94831395],[ 51856.58130378],[-60851.06476909]
[-21083.58729526],[ 55706.93457554],[ 93213.48703612]
[-37217.43344914],[ 73613.88672562],[ 2394.07416778]
[ 59323.14473734],[ 68230.18407198],[ 31105.75305721]
[-20706.14240793],[ 38832.33047002],[ 43076.65432092]
[-94401.36892798],[-29668.04317368],[ 67291.99770306]
[-98983.09012092],[ 47903.70312909],[-63685.54124202]
[-45401.68025682],[ 91122.77000372],[ 99233.20734252]
[-22559.07891893],[-78319.84464654],[-91888.89590571]
[ 34889.07361895],[ 66147.91384633],[ 90193.52946694]
[ 89154.61138677],[ 49655.63946931],[-15557.44920723]
[ 78842.09308953],[-88030.8656351],[ 86459.64121187]
[-39919.28747433],[ 29091.4828225],[-15138.84131809]
[-80832.53867413],[ 14260.40108169],[-4880.67641498]
[ 98982.8985226],[ 4005.28870119],[ 80048.57035263]
[-84160.42207894],[-66321.29519613],[ 64448.91071253]
[ 17683.45523194],[ 9659.80320739],[ 94191.65596573]
[-95394.27444489],[-19825.80027157],[-41887.48971197]
[ 18205.38229113],[-76541.32977189],[-25208.84317068]
[-49461.09950329],[ 34482.80216948],[-93725.29775361]
[ 61008.89075871],[ 46727.35926481],[-97835.81708846]
[-52989.70932871],[ 31800.58391146],[-15031.95740161]
[-90843.01538077],[-68775.86099201],[-13255.69257157]
[-82367.28291509],[-94469.60742013],[ 46566.11248133]
[ 80677.05162443],[ 46844.48716888],[ 26714.14132709]
[ 16334.62511555],[ 61994.58964753],[ 96187.34764378]
[ 81953.34450515],[-3773.79808779],[-39024.69310477]
[ 75373.57875989],[-33430.06519923],[-1526.47524945]
[-49509.7742414],[ 67586.76707195],[ 36188.70696852]
[ 64277.73703019],[-61389.39719462],[-50653.57079066]
[-210.04039115],[ 62688.40978118],[-98025.86108559]
[-44335.00459129],[ 34479.77087486],[ 37390.67352401]
[ 61351.31034737],[-66566.21722385],[-86876.07967808]
[-20903.36164054],[ 82004.40778908],[ 27244.99353643]
[ 37848.35608981],[ 57577.48000207],[ 60435.95890292]
[ 24458.70028228],[ 77032.43816673],[ 68422.71048547]
[ 79554.38200938],[ 11410.59934629],[-8305.90734006]
[ 88486.266257],[-63752.56619879],[ 97500.45964608]
[-44130.79957857],[ 76408.3820604],[ 41371.57345957]
[-60790.51037207],[ 4367.29624294],[ 69161.63034435]
[ 85269.89390885],[ 87668.7113912],[ 44318.26434171]
[ 63244.83831319],[-39713.47380852],[-64493.3049738]
[ 18524.15149764],[-95501.64849923],[ 94468.00551387]
[ 38177.60188997],[ 10406.96531086],[ 49072.55143315]
[-79277.26055372],[-12401.06737907],[-68560.73940916]
[ 17.46376615],[ 86334.88670082],[ 52171.05996822]
[ 10421.10315184],[-22116.489458],[ 52226.77112123]
[ 83258.58582835],[-3212.51571899],[-31713.47585617]
[-98075.15550026],[-67227.51012629],[ 49906.11450953]
[ 5695.27845654],[ 21790.30220032],[ 67928.06827707]
[ 48878.07172748],[-94699.194602],[-51785.15688989]
[-79093.50551178],[ 56672.32772892],[-84643.93524858]
[-77943.27453503],[-73160.37745246],[-11568.28983004]
[-78004.34725262],[-29930.33075759],[ 62600.2041271]
[ 39862.68799474],[ 43197.24809348],[-30711.60993572]
[-85005.5814157],[ 94806.26258933],[-45138.18943832]
[-81233.65248582],[ 73452.7232073],[ 4269.24685142]
[-18400.86325994],[-7314.58462691],[ 72032.53101073]
[-23293.76730564],[-75477.62496052],[-16542.67762665]
[ 43865.03793853],[ 99669.3141601],[-7047.10203669]
[ 1743.82766325],[ 72270.1902195],[ 23749.68160608]
[-25169.71259473],[-44375.09619417],[ 54818.64556321]
[-86557.48725124],[-26514.02370179],[-91008.00300887]
[-26766.09727726],[ 99141.49231293],[ 6718.76330854]
[ 46912.06689473],[ 73694.45199029],[-19981.24844509]
[-76806.77549548],[-41584.38725335],[ 55910.12127238]
[ 4278.51240905],[ 27725.58028244],[-46849.10628387]
[-48368.84316852],[-60316.46447211],[ 28230.85204758]
[ 154.19698821],[ 46876.88871393],[-25281.25534146]
[ 3601.52409633],[ 99850.42371868],[-18904.20252831]
[-84353.19747371],[-98470.02192816],[-67314.98856245]
[ 14474.49487124],[-6167.36614605],[ 73151.50079435]
[-41497.21832844],[-39943.62607532],[-44633.38163856]
[ 80297.44585127],[ 14714.51199418],[ 43315.77080108]
[-5061.99002385],[ 49963.93807051],[-66893.90360121]
[ 5266.53877842],[ 31013.97701497],[-64019.81644736]
[ 29696.51615133],[-69181.60722298],[-26209.87701513]
[ 91211.59374426],[-19053.86832267],[-39727.3331556]
[ 38070.17297765],[-69559.44065548],[ 53832.47862458]
[-33705.05680029],[-53355.19383928],[ 8380.87963739]
[ 26519.58443302],[ 9243.77112816],[ 72613.86274926]
[ 59828.45160779],[-52313.75936568],[-19629.2683807]
[-22460.94535898],[-30559.30402893],[-88828.9547283]
[-14529.18708105],[-11338.01572369],[-69923.90663677]
[ 6949.94294258],[-95855.92268734],[-2506.30899765]
[-23571.14918793],[-70445.72370858],[-66161.37398554]
[ 7378.07876999],[ 45415.32458248],[-33716.61382935]
[ 17267.92366661],[-9297.32722483],[-19699.21008492]
[ 87163.08859058],[-46853.3507381],[ 25421.04997213]
[-20782.36472517],[-788.9170912],[-54444.37707603]
[-47445.37101332],[ 71830.90135994],[ 11107.72636365]
[ 86280.75555444],[-49123.08814083],[-63051.96842739]
[ 62824.59545221],[-1034.19448373],[-28609.91164783]
[ 24668.95989552],[ 79391.02778814],[ 27090.53342559]
[-86135.38478219],[-54039.81143222],[ 43350.47671785]
